genome clade
G000430585 5
G001049895 5
G000733515 5
G001649505 5
G001806105 5
G000686845 5
G900102125 5
G001421015 5
G000437335 5
G000433035 5
G001916215 5
G000018785 5
G000300695 5
G001830015 5
G000508965 5
G000450985 5
G001909285 5
G002003465 5
G000430745 2
G000177235 2
G000292245 2
G000484595 2
G001617605 2
G001708185 2
G000733585 2
G000007845 2
G001187595 2
G900115845 2
G000504165 2
G001278705 2
G000701305 2
G000011645 2
G000829435 2
G900094975 2
G000712035 2
G000010585 2
G001074355 2
G000186205 2
G000245655 2
G000525955 2
G000744255 2
G000745125 2
G900112935 2
G000428865 2
G900110675 2
G000407165 2
G000648175 2
G000006865 2
G000229145 2
G000228205 2
G000309585 2
G001438805 2
G001012675 2
G000970775 2
G001437355 2
G001438695 2
G000286115 2
G001869395 2
G001869295 2
G001438725 2
G000014505 2
G000248095 2
G000161935 2
G000014465 2
G001313205 2
G900104395 14
G001568365 14
G000092565 14
G001829155 14
G000501615 14
G001603165 14
G000195275 14
G000405945 11
G001804315 11
G001824485 11
G002007645 11
G001983935 11
G001610875 11
G900097105 11
G001796315 11
G001469535 11
G000786005 11
G000298475 11
G000204255 11
G000417585 11
G001508335 11
G001918525 11
G900129715 11
G900142495 11
G001458535 11
G000012485 11
G001625015 11
G000425585 11
G001898495 11
G001424305 11
G001308105 11
G000218895 11
G000981645 6
G001800985 6
G000348805 6
G000471965 6
G900089075 6
G001424585 6
G900116115 6
G900130035 6
G000318295 6
G000220585 6
G000382125 6
G001865655 6
G001280515 6
G001280505 6
G000224335 6
G000797445 6
G001438125 6
G000423405 6
G001769705 6
G000231275 6
G000379665 6
G000768875 6
G000436435 6
G000235885 6
G000430525 6
G000220235 6
G000426565 6
G001468855 10
G000487995 10
G000980755 10
G000020785 10
G000762875 10
G001190755 10
G001830805 10
G000012965 10
G000224765 10
G000405625 10
G001263205 10
G001769835 10
G000695975 10
G002002665 10
G001044505 10
G001803525 10
G000714715 10
G001803785 10
G001830135 10
G001798315 10
G001795545 10
G000717475 10
G000429305 10
G001751165 10
G000745975 10
G000283915 10
G000013125 10
G001192655 7
G000245075 7
G000759655 7
G900101965 7
G000319385 7
G001469845 7
G000242835 7
G000445145 7
G000445105 7
G001438045 7
G000738435 7
G900129845 7
G000382265 7
G001969385 7
G000423645 7
G001292625 7
G000172095 7
G000017265 7
G000526315 7
G000188155 7
G001298265 7
G000429045 7
G000012725 7
G000344805 7
G000429865 7
G000230555 7
G000179775 7
G000697965 7
G000300855 7
G000497755 7
G001427385 7
G000282595 7
G002007565 7
G001624625 7
G001559035 7
G000312545 7
G000518105 7
G000379225 10
G001756595 10
G000428145 9
G000021025 9
G000007705 9
G000163775 9
G000093025 9
G000145255 9
G000014765 9
G900113925 9
G001682385 9
G001182045 9
G000297775 9
G000506865 9
G000226625 9
G000319245 9
G000967305 9
G900089455 9
G000026125 9
G000832305 9
G000684975 9
G000377645 9
G000733775 9
G000768065 9
G000689195 9
G001005215 9
G001432305 9
G000334955 9
G000384955 9
G900115085 9
G001431485 9
G001499755 9
G000007385 9
G900112605 9
G000377885 9
G000214595 9
G001443675 9
G001708975 9
G000744875 9
G001720395 9
G000219045 9
G001042525 9
G001574555 9
G000168295 9
G001801635 9
G001582555 9
G900119765 9
G000191145 8
G001484985 8
G900116265 8
G000219275 8
G001656285 8
G000192925 8
G000192965 8
G000511875 8
G001183545 8
G000422425 8
G001995095 8
G000382245 8
G000591415 8
G000830985 8
G000220545 8
G001458075 8
G000401175 8
G001562155 8
G001562125 8
G900107845 8
G001795365 8
G001469895 8
G001924935 8
G001420915 8
G000153405 8
G000023065 8
G001447335 8
G000513735 8
G000444565 8
G000444645 8
G900110905 8
G001676225 8
G000817295 8
G900128755 8
G002006995 8
G001422605 8
G000006925 8
G001777585 0
G001873465 0
G001003325 0
G001780065 0
G001777695 0
G001784775 0
G000999765 0
G000995125 0
G000992445 0
G001777815 0
G001003705 0
G001004025 0
G001818335 0
G001784975 0
G001784795 0
G001784815 0
G001786575 0
G001872305 0
G001779995 0
G001777575 0
G001777855 0
G001779915 0
G001818755 0
G001818435 0
G001872435 0
G001784885 0
G001784875 0
G001785005 0
G001786615 0
G001784725 0
G001819535 0
G001777825 0
G001777655 0
G001777775 0
G001818735 0
G001818315 0
G001818135 0
G001000505 0
G001784955 0
G000991855 0
G000991935 0
G001784915 0
G001784715 0
G001784695 0
G001873875 0
G001873245 0
G000990485 0
G001873495 0
G001822835 0
G001822935 0
G001825495 0
G001777665 0
G001818055 0
G001000955 0
G001791465 0
G001871365 0
G001823015 0
G001873525 0
G001778195 0
G001000395 0
G000990805 0
G000990945 0
G001822895 0
G001822865 0
G001819985 0
G001821805 0
G001819975 0
G001872425 0
G001872225 0
G001824315 0
G001824375 0
G001773975 0
G000992135 0
G001777545 0
G001818105 0
G000999025 0
G001818205 0
G001791245 0
G001783595 0
G001872245 0
G000992395 0
G001780235 0
G001791425 0
G001784895 0
G001784965 0
G001784805 0
G000990885 0
G000990515 0
G001001345 0
G001001155 0
G001003065 0
G001003855 0
G000992565 0
G000992165 0
G001819475 0
G001000145 0
G000997475 0
G000996085 0
G000993865 0
G001822815 0
G001822905 0
G001821845 0
G001795715 0
G001794195 0
G001794605 0
G001795775 0
G001795795 0
G001775835 0
G000992345 0
G001779895 0
G001818085 0
G001791375 0
G001791575 0
G000998185 0
G000998975 0
G001822975 0
G001818395 0
G001818365 0
G000991205 0
G001818495 0
G001818835 0
G001817385 0
G001817255 0
G001817265 0
G001778085 0
G001778285 0
G001871235 0
G001002965 0
G001001525 0
G000995965 0
G000991815 0
G000992325 0
G001872385 0
G001819495 0
G001821835 0
G001820055 0
G001820145 0
G001820355 0
G001795665 0
G001794515 0
G001774035 0
G001774085 0
G000992485 0
G001775935 0
G001824395 0
G001820595 0
G001779985 0
G001780055 0
G001000815 0
G001783645 0
G001824755 0
G000995845 0
G001000185 0
G000999675 0
G000999255 0
G001780315 0
G001778275 0
G001871165 0
G000999715 0
G000995135 0
G001791535 0
G000991645 0
G000991325 0
G000991525 0
G001822005 0
G001004055 0
G001823415 0
G001795695 0
G001794025 0
G001794595 0
G000991445 0
G000992505 0
G001774135 0
G001774195 0
G000999865 0
G001001795 0
G001872485 0
G001002095 0
G001817215 0
G001822425 0
G001822475 0
G000997345 0
G001818175 0
G001781935 0
G001783635 0
G001001425 0
G001817575 0
G001817345 0
G001778155 0
G000992955 0
G001873515 0
G001778255 0
G001791155 0
G001001925 0
G001001655 0
G000996735 0
G001782815 0
G001782975 0
G001791475 0
G001001845 0
G001001705 0
G001791005 0
G001791115 0
G000991495 0
G000992015 0
G001822155 0
G001003785 0
G001003905 0
G001824985 0
G001823235 0
G001003225 0
G001821575 0
G001795875 0
G000994085 0
G001794015 0
G001774075 0
G000994805 0
G000995795 0
G001779575 0
G001004435 0
G001004285 0
G001001625 0
G001822345 0
G001822455 0
G001822385 0
G001820755 0
G001819875 0
G001821795 0
G000994355 0
G001825485 0
G001818075 0
G001818475 0
G001001205 0
G001817415 0
G001817305 0
G001817495 0
G001817585 0
G001778075 0
G001778235 0
G000996245 0
G000993485 0
G001778055 0
G001778165 0
G001780275 0
G000992615 0
G000992765 0
G000992375 0
G001791385 0
G001790975 0
G001783145 0
G000996105 0
G001791195 0
G001791135 0
G001791145 0
G001791275 0
G000991245 0
G000990595 0
G001820135 0
G000989665 0
G001820175 0
G001822165 0
G001820515 0
G001820555 0
G001825005 0
G001823155 0
G001823295 0
G001823165 0
G001824925 0
G001819255 0
G001819295 0
G001819335 0
G001823315 0
G001794755 0
G001794485 0
G001794475 0
G001794295 0
G001794105 0
G001795615 0
G001794145 0
G001794065 0
G001795975 0
G001794675 0
G001774055 0
G001774005 0
G000998845 0
G000999325 0
G001779505 0
G001822375 0
G001820715 0
G001820635 0
G001819785 0
G001819905 0
G001780515 0
G000993845 0
G001825555 0
G001786095 0
G001000795 0
G001818155 0
G000997945 0
G001780215 0
G000992745 0
G001791555 0
G001303185 0
G001791065 0
G001820115 0
G001820305 0
G001823375 0
G001824885 0
G001819345 0
G001302985 0
G001795655 0
G001794215 0
G001795625 0
G001794435 0
G001794735 0
G000998315 0
G000998395 0
G000999665 0
G001000105 0
G001793815 0
G001817735 0
G001820725 0
G001822295 0
G001820675 0
G001822415 0
G001819815 0
G001819735 0
G001003085 0
G001819395 0
G001820815 0
G000995735 0
G000996035 0
G001785415 0
G001003845 0
G000992575 0
G000992665 0
G001783215 0
G001783315 0
G000990355 0
G001791295 0
G001791745 0
G001872545 0
G001791335 0
G001791505 0
G001004485 0
G001820225 0
G001821925 0
G001820325 0
G000993375 0
G001821455 0
G001794285 0
G001794635 0
G001795825 0
G001794385 0
G000996315 0
G001002015 0
G001779475 0
G001001115 0
G000996445 0
G001822305 0
G001822325 0
G001821755 0
G001778975 0
G001004355 0
G001004305 0
G001824825 0
G001819075 0
G001819015 0
G001783035 0
G001784255 0
G001783135 0
G001784235 0
G001782905 0
G001871435 0
G001791415 0
G001790815 0
G001791635 0
G001820395 0
G001819315 0
G000992685 0
G001303125 0
G001873405 0
G001794555 0
G001795855 0
G001775885 0
G001779535 0
G001779555 0
G001004105 0
G001003525 0
G000993695 0
G001003645 0
G001817685 0
G001817755 0
G001818915 0
G001820775 0
G000998135 0
G001003045 0
G001821685 0
G001819855 0
G001778775 0
G001778855 0
G001778595 0
G001778735 0
G001890035 0
G001785485 0
G001786225 0
G001819135 0
G001823505 0
G001784455 0
G001783065 0
G000997135 0
G000995915 0
G001001645 0
G000994285 0
G001791735 0
G001820445 0
G001795585 0
G001794575 0
G001774215 0
G001793895 0
G001003425 0
G001817635 0
G001002165 0
G001817715 0
G001821355 0
G001821375 0
G001818625 0
G001819945 0
G001818615 0
G001818535 0
G001818595 0
G001818015 0
G001817925 0
G001793855 0
G001002005 0
G001820565 0
G001820685 0
G001778665 0
G001778535 0
G001778545 0
G001780535 0
G001780705 0
G001780775 0
G001780695 0
G001780445 0
G001000585 0
G000998195 0
G000994865 0
G001000005 0
G001778635 0
G001778465 0
G001000285 0
G001823055 0
G000993955 0
G001781525 0
G000996205 0
G000992085 0
G001784435 0
G001782965 0
G001783015 0
G001784315 0
G001784355 0
G000997065 0
G000996715 0
G000996355 0
G001791725 0
G001791645 0
G001002565 0
G001002765 0
G001820295 0
G001795735 0
G001794125 0
G001794695 0
G001774165 0
G001775915 0
G001793975 0
G001000305 0
G001817675 0
G001817805 0
G001818895 0
G001818705 0
G001778905 0
G001780415 0
G001778875 0
G000999085 0
G001002485 0
G000998905 0
G000994995 0
G000990495 0
G000990325 0
G001786325 0
G000999395 0
G000997715 0
G000996605 0
G001781435 0
G001779665 0
G001779615 0
G001782955 0
G001783095 0
G001784325 0
G001782935 0
G001782805 0
G001782895 0
G001784275 0
G001871445 0
G001004575 0
G000993535 0
G001791715 0
G001820535 0
G001794375 0
G001794095 0
G001793945 0
G001793935 0
G001002585 0
G001005035 0
G001818695 0
G001817975 0
G001817875 0
G001817915 0
G001817995 0
G001818675 0
G001778705 0
G001780495 0
G001780555 0
G001780475 0
G001778555 0
G000999145 0
G001778415 0
G001786255 0
G001821395 0
G001818945 0
G001821435 0
G001821385 0
G001818995 0
G001823545 0
G001825065 0
G001871765 0
G000998805 0
G000998045 0
G001823875 0
G001822625 0
G001782825 0
G001782875 0
G001784395 0
G001783105 0
G001783045 0
G000996965 0
G000995215 0
G000997445 0
G000998515 0
G001790985 0
G001822075 0
G001003095 0
G001004965 0
G001780565 0
G001778955 0
G001780595 0
G000998125 0
G000992005 0
G001785805 0
G001785815 0
G000993105 0
G001786055 0
G001785595 0
G001818975 0
G001781205 0
G001775475 0
G001823895 0
G000992905 0
G001825325 0
G001824195 0
G001820825 0
G001189105 0
G001783185 0
G001784365 0
G001000125 0
G001791565 0
G001822135 0
G001820405 0
G001002795 0
G001818655 0
G001818545 0
G001778435 0
G001778615 0
G000991735 0
G001785515 0
G000990665 0
G001785615 0
G001819095 0
G000997825 0
G001781255 0
G001783515 0
G001779595 0
G001783525 0
G001873485 0
G001775445 0
G001824355 0
G001823695 0
G001823995 0
G001824135 0
G001823745 0
G001824025 0
G001824005 0
G001823735 0
G001824075 0
G001825295 0
G001823825 0
G001825335 0
G001824275 0
G000996025 0
G001824235 0
G001825395 0
G000994025 0
G001822555 0
G001821235 0
G001003165 0
G000998635 0
G000999365 0
G000996685 0
G000996765 0
G000996525 0
G001791205 0
G001000945 0
G001778395 0
G001780725 0
G001778755 0
G000992205 0
G001787125 0
G001786795 0
G001819055 0
G001819035 0
G000999475 0
G000998425 0
G001000595 0
G001873305 0
G001823535 0
G001783565 0
G001004665 0
G001189095 0
G001781625 0
G001825315 0
G001823795 0
G001825235 0
G000993415 0
G001821215 0
G001822735 0
G001821015 0
G001820875 0
G000994165 0
G000997055 0
G001790825 0
G000998475 0
G001029635 0
G001780425 0
G001786125 0
G001786965 0
G000998465 0
G001786745 0
G001823495 0
G001825075 0
G001567365 0
G001004755 0
G001775435 0
G001189075 0
G001781095 0
G001779655 0
G001823715 0
G001823945 0
G001824255 0
G001825215 0
G001824095 0
G000995625 0
G001821295 0
G001821035 0
G001821055 0
G000999175 0
G001822705 0
G001821185 0
G001791305 0
G001791455 0
G001778935 0
G001780605 0
G000991405 0
G000991485 0
G000991285 0
G000996985 0
G000997645 0
G001000035 0
G000994705 0
G001785295 0
G001781375 0
G001189195 0
G001189215 0
G001872505 0
G001783335 0
G001783485 0
G001004265 0
G001823815 0
G001822495 0
G001822755 0
G001821245 0
G001822675 0
G001821065 0
G001001935 0
G000991845 0
G000999185 0
G000999925 0
G001786735 0
G001783435 0
G001779585 0
G001781465 0
G001781845 0
G001003805 0
G001824155 0
G001825405 0
G000998065 0
G000996185 0
G000995155 0
G001822595 0
G001821115 0
G001820855 0
G001820985 0
G001822505 0
G001820955 0
G001822615 0
G001820935 0
G001004005 0
G000991655 0
G000991335 0
G001787245 0
G000995945 0
G000994485 0
G001781415 0
G001781805 0
G001781555 0
G001781675 0
G001781685 0
G001824295 0
G000994785 0
G001821305 0
G001003605 0
G000999035 0
G001004225 0
G000994515 0
G001786175 0
G001004905 0
G001005015 0
G001781885 0
G001781605 0
G001781875 0
G001820885 0
G001821135 0
G001821155 0
G000994305 0
G001785675 0
G001785785 0
G000990145 0
G000991975 0
G001786805 0
G001783465 0
G001783355 0
G001783375 0
G001004985 0
G001781195 0
G001821275 0
G001786905 0
G001785985 0
G001781565 0
G001781285 0
G001783445 0
G001781335 0
G001783415 0
G001781105 0
G001781725 0
G001781275 0
G001821165 0
G000995805 0
G000994625 0
G000994675 0
G001781355 0
G001781515 0
G001781175 0
G001822535 0
G001785465 0
G001781445 0
G001781795 0
G001824735 0
G001820905 0
G001785895 0
G001786195 0
G001785695 0
G001786885 0
G001786045 0
G000015025 1
G000515395 1
G000373925 1
G000719025 1
G001426435 1
G001005145 1
G001270745 1
G000384115 1
G000017305 1
G900101335 1
G900070355 1
G000012405 1
G000023925 1
G000699505 1
G000423505 1
G001678905 1
G900101785 1
G000372465 1
G000024345 1
G000024385 1
G000024025 1
G000504285 1
G000372745 1
G000421185 1
G000314575 1
G001729525 1
G000257665 1
G001437715 1
G000007485 1
G000576425 1
G000975095 1
G000759715 1
G000485475 1
G900105065 1
G000270245 1
G000423085 1
G900092135 1
G000312105 1
G000518265 1
G001570525 1
G000715975 1
G000224715 1
G000421245 1
G000426385 1
G001189535 1
G000298175 1
G000285915 1
G000178455 1
G000285835 1
G000426445 1
G001968835 1
G000338055 1
G000023105 1
G001375495 1
G000826085 1
G000423465 1
G001428805 1
G000426045 1
G000341105 1
G000341165 1
G000341025 1
G000092645 1
G900100605 1
G000380165 1
G000429885 1
G001021715 1
G000725405 1
G000376825 1
G000576575 1
G001063195 1
G001476195 1
G000011025 1
G001275345 1
G000800955 1
G000220985 1
G000688395 1
G000425685 1
G000381765 1
G000225825 1
G900105765 1
G000421225 1
G000239695 1
G000277715 1
G001424755 1
G000720335 1
G000426525 1
G000341205 1
G000341185 1
G000981225 1
G000826685 1
G000341145 1
G000340965 1
G001279585 1
G000374305 1
G000381885 1
G000718255 1
G001552515 1
G000744815 1
G001418575 1
G001247745 1
G001190945 1
G001758225 1
G001552435 1
G000164695 1
G000763765 1
G000786655 1
G001482365 1
G001483765 1
G000224415 1
G000023205 1
G001657475 1
G000420805 1
G001438965 1
G000754445 1
G000425105 1
G000023405 1
G000233655 1
G000312125 1
G000701465 1
G000526515 1
G000767135 1
G000376885 1
G000420505 1
G001042675 1
G000758825 1
G001687305 1
G000826065 1
G000619965 1
G000421525 1
G900163845 1
G000160775 1
G000471045 1
G001423365 1
G001426755 1
G001423135 1
G000341125 1
G000515115 1
G000092985 1
G000341065 1
G000341085 1
G000341005 1
G000468475 1
G000425065 1
G000511135 1
G000718475 1
G001417755 1
G001653075 1
G000744705 1
G000240165 1
G001515525 1
G000298215 1
G000826525 1
G000247995 1
G001956915 1
G000297495 1
G001428305 1
G001050535 1
G001046875 1
G001408335 1
G000010285 1
G001580365 1
G000786195 1
G000455245 1
G000421745 1
G001887245 1
G000423205 1
G000024065 1
G000767165 1
G001042695 1
G000269605 1
G000741705 1
G000738005 1
G001263395 1
G000612055 1
G000466165 1
G000162895 1
G000185425 1
G001856685 1
G001936115 1
G000426605 1
G001427925 1
G001429555 1
G001428125 1
G000422805 1
G000422825 1
G000785495 1
G000379885 1
G000725485 1
G000721075 1
G000024865 1
G000744655 1
G000744785 1
G000744225 1
G000373665 1
G001011035 1
G000720035 1
G001429685 1
G001046855 1
G000348945 1
G000980875 1
G000754435 1
G000526595 1
G000718325 1
G000385135 1
G000767175 1
G000603945 1
G000092865 1
G001552375 1
G000304215 1
G000737865 1
G000414525 1
G000159155 1
G000025205 1
G000414445 1
G000347695 1
G900105865 1
G000092365 1
G000420445 1
G000315465 1
G000428685 1
G000295095 1
G000185445 1
G000146895 1
G000148485 1
G000176775 1
G000160615 1
G000413315 1
G000423485 1
G001441165 1
G000463665 1
G001429625 1
G000389985 1
G000620705 1
G000015265 1
G000364605 1
G000960475 1
G000787835 1
G000787795 1
G000718025 1
G001625365 1
G900142575 1
G000745345 1
G000092385 1
G001428505 1
G000383675 1
G001428025 1
G001427915 1
G001281115 1
G000430705 1
G000520495 1
G000328305 1
G000376245 1
G000802235 1
G000834055 1
G000215105 1
G000212695 1
G000312005 1
G000737845 1
G000741525 1
G000741645 1
G000411135 1
G900102025 1
G001553935 1
G000466245 1
G000159035 1
G000146285 1
G000196535 1
G900120415 1
G000159015 1
G000425285 1
G000423445 1
G000367205 1
G001428565 1
G001427795 1
G001428765 1
G000519005 1
G001429805 1
G000955975 1
G000710465 1
G000993785 1
G000718985 1
G000158915 1
G000367525 1
G000768675 1
G000197735 1
G001302565 1
G000950575 1
G000018885 1
G000350525 1
G001592145 1
G000024965 1
G001429255 1
G000688475 1
G000708885 1
G000741775 1
G000741285 1
G000741215 1
G000429205 1
G000724605 1
G001183565 1
G000429225 1
G900106855 1
G000296485 1
G001546135 1
G000411155 1
G000820725 1
G000429105 1
G000204235 1
G000717715 1
G000719135 1
G000424845 1
G000147815 1
G000938975 1
G000718635 1
G000717745 1
G000720925 1
G001428065 1
G000520555 1
G000816565 1
G000520515 1
G000785535 1
G000482545 1
G000633415 1
G001426925 1
G000718085 1
G000218545 1
G001040865 1
G000741205 1
G000741255 1
G000022965 1
G001685165 1
G001685155 1
G000220835 1
G000508625 1
G000420065 1
G001807435 1
G001055535 1
G000420405 1
G900119695 1
G900106055 1
G000221145 1
G000269985 1
G000696185 1
G001493375 1
G001083795 1
G000719265 1
G000718015 1
G000719955 1
G000213055 1
G000827005 1
G000768685 1
G000768705 1
G001427985 1
G000152705 1
G001428435 1
G000520595 1
G001263615 1
G000422385 1
G000422745 1
G000826185 1
G000582705 1
G000477555 1
G000741575 1
G001042595 1
G000010425 1
G000711965 1
G001812065 1
G000758775 1
G001813085 1
G001457875 1
G001814535 1
G001070855 1
G000008345 1
G000424825 1
G001187435 1
G000342125 1
G000695235 1
G000721265 1
G000429085 1
G000719335 1
G001279695 1
G000014925 1
G001542565 1
G001428365 1
G000196235 1
G000238915 1
G000231305 1
G001477055 1
G000349545 1
G001273835 1
G000956505 1
G000247645 1
G000153145 1
G001422145 1
G001423105 1
G001422205 1
G000069225 1
G001423185 1
G000741135 1
G000800475 1
G000165905 1
G000741165 1
G001025155 1
G000429265 1
G000269805 1
G001807285 1
G001812345 1
G001070095 1
G000420425 1
G001746855 1
G000145555 1
G000497405 1
G000426325 1
G000424965 1
G000381025 1
G000935125 1
G000497425 1
G001279725 1
G000373565 1
G001484605 1
G000422405 1
G000802305 1
G001424385 1
G000308055 1
G000318335 1
G000364865 1
G000296505 1
G000154225 1
G000145515 1
G000144735 1
G000964305 1
G900090125 1
G000721445 1
G000717345 1
G001729485 1
G000818195 1
G000718095 1
G000375725 1
G001905365 1
G000010605 1
G000717025 1
G000720455 1
G001746425 1
G000163875 1
G001693675 1
G001424565 1
G000763375 1
G000685355 1
G000956535 1
G000799385 1
G001475745 1
G000349565 1
G000333435 1
G000938265 1
G001465855 1
G001423885 1
G000741175 1
G001417815 1
G001262055 1
G001057055 1
G000424785 1
G001751375 1
G001750785 1
G001646665 1
G000384175 1
G000716675 1
G000720475 1
G001419745 1
G001418465 1
G000716805 1
G000725495 1
G001298575 1
G000204605 1
G000189535 1
G000956525 1
G000633215 1
G000956475 1
G001314225 1
G000421825 1
G000419445 1
G001428745 1
G000421145 1
G000764165 1
G000741715 1
G000741695 1
G000007525 1
G001025175 1
G000721275 1
G001418335 1
G001418655 1
G000968255 1
G000009765 1
G000376565 1
G000331005 1
G000813845 1
G000022025 1
G001262495 1
G001887285 1
G000333395 1
G001427525 1
G000383315 1
G001425325 1
G001421565 1
G000718595 1
G000317595 1
G000819545 1
G000956415 1
G001552455 1
G001592125 1
G900104345 1
G000202635 1
G001652465 1
G000469485 1
G000799285 1
G001428255 1
G000830005 1
G000253235 1
G001418475 1
G000091305 1
G000242715 1
G001552475 1
G000746195 1
G000956575 1
G001423695 1
G000470775 1
G001542775 1
G001425085 1
G000421565 1
G000421545 1
G001654495 1
G001427145 1
G001428485 1
G000304335 1
G000956465 1
G001005085 1
G001279985 1
G000725795 1
G000349325 1
G001418585 1
G000444875 1
G001513975 1
G001509795 1
G001514045 1
G000158955 1
G001611795 1
G000718315 1
G000716215 1
G000721105 1
G000156435 1
G001013905 1
G000497445 1
G001419695 1
G001418415 1
G001660045 1
G000802245 1
G001511815 1
G000721235 1
G000203835 1
G000158935 1
G001781965 10
G000989975 10
G000989255 10
G001468925 10
G000513475 10
G001772305 10
G000469585 10
G000177635 10
G001547735 10
G001627915 10
G000014865 10
G000989955 10
G000992305 10
G000996695 10
G000010985 10
G000025725 10
G000517565 10
G001627895 10
G000484715 10
G001627975 10
G001780385 10
G000372125 10
G001000065 10
G000996275 10
G001771315 10
G000989525 10
G000183405 10
G000218625 10
G001603805 10
G000421105 10
G000404705 10
G000744435 10
G000170735 10
G001627675 10
G000213335 10
G000213355 10
G001627955 10
G002010715 10
G000687145 10
G001799195 10
G001790695 10
G000388175 10
G000469665 10
G001399755 10
G000991965 10
G000989195 10
G000404605 10
G000420385 10
G000021725 10
G000523275 10
G001469005 10
G001627685 10
G001627765 10
G000242615 10
G000428885 10
G001918335 10
G001920795 10
G001919385 10
G001907975 10
G001748245 10
G000284315 10
G000744415 10
G001873795 10
G000153765 10
G000423825 10
G000991385 10
G000991575 10
G001468885 10
G000404665 10
G000421485 10
G001968985 10
G000185805 10
G000191045 10
G000008625 10
G000194135 10
G000526195 10
G000196135 10
G000518225 10
G000010325 10
G001627755 10
G001775695 10
G000398345 10
G001798655 10
G001798605 10
G001464715 10
G000522425 10
G000522445 10
G000739515 10
G000739535 10
G000755505 10
G000299115 10
G000379345 10
G001871925 10
G000175575 10
G000385635 10
G000403075 10
G000021565 10
G000703085 10
G000173615 10
G000597725 10
G001627835 10
G001773915 10
G001773925 10
G000398305 10
G000493965 10
G000226295 10
G001917705 10
G001464795 10
G001770165 10
G001643535 10
G001768805 10
G001468845 10
G001468865 10
G000404685 10
G000619805 10
G000021545 10
G000164905 10
G000010785 10
G000025605 10
G000687535 10
G000158455 10
G000765745 10
G000765665 10
G000686565 10
G000276965 10
G001627815 10
G000024805 10
G000737325 10
G001769855 10
G001186405 10
G000262365 10
G001280545 10
G001914375 10
G000091165 10
G001798265 10
G002011845 10
G001768925 10
G000494225 10
G000402115 10
G000512735 10
G000702425 10
G000162575 10
G000155495 10
G000349975 10
G000789415 10
G000705255 10
