genome	top_class
G000008665.part_1_37	13
G000008665.part_1_3	13
G000008665.part_1_40	13
G000008665.part_1_41	13
G000008665.part_1_43	13
G000008665.part_1_45	13
G000008665.part_1_46	13
G000008665.part_1_47	13
G000008665.part_1_48	13
G000008665.part_1_49	13
G000008665.part_1_4	13
G000008665.part_1_50	13
G000008665.part_1_53	13
G000008665.part_1_54	13
G000008665.part_1_55	13
G000008665.part_1_56	13
G000008665.part_1_57	13
G000008665.part_1_58	13
G000008665.part_1_59	13
G000008665.part_1_5	13
G000008665.part_1_61	13
G000008665.part_1_62	13
G000008665.part_1_63	13
G000008665.part_1_64	13
G000008665.part_1_65	13
G000008665.part_1_66	13
G000008665.part_1_6	13
G000008665.part_1_70	13
G000008665.part_1_72	13
G000008665.part_1_73	13
G000008665.part_1_74	13
G000008665.part_1_75	13
G000008665.part_1_76	13
G000008665.part_1_77	13
G000008665.part_1_7	13
G000008665.part_1_80	13
G000008665.part_1_81	13
G000008665.part_1_83	13
G000008665.part_1_85	13
G000008665.part_1_87	13
G000008665.part_1_88	13
G000008665.part_1_89	13
G000008665.part_1_8	13
G000008665.part_1_90	13
G000008665.part_1_91	13
G000008665.part_1_95	13
G000008665.part_1_97	13
G000008665.part_1_98	13
G000017265.part_1_100	7
G000017265.part_1_103	7
G000017265.part_1_104	7
G000017265.part_1_107	7
G000017265.part_1_108	7
G000017265.part_1_109	7
G000017265.part_1_111	7
G000017265.part_1_112	7
G000017265.part_1_115	7
G000017265.part_1_116	7
G000017265.part_1_117	7
G000017265.part_1_11	7
G000017265.part_1_120	7
G000017265.part_1_121	7
G000017265.part_1_122	7
G000017265.part_1_123	7
G000017265.part_1_124	7
G000017265.part_1_125	7
G000017265.part_1_128	7
G000017265.part_1_12	7
G000017265.part_1_130	7
G000017265.part_1_131	7
G000017265.part_1_132	7
G000017265.part_1_133	7
G000017265.part_1_135	7
G000017265.part_1_136	7
G000017265.part_1_140	7
G000017265.part_1_141	7
G000017265.part_1_142	7
G000017265.part_1_143	7
G000017265.part_1_144	7
G000017265.part_1_145	7
G000017265.part_1_147	7
G000017265.part_1_148	7
G000017265.part_1_149	7
G000017265.part_1_14	7
G000017265.part_1_152	7
G000017265.part_1_153	7
G000017265.part_1_154	7
G000017265.part_1_156	7
G000017265.part_1_157	7
G000017265.part_1_158	7
G000017265.part_1_159	7
G000017265.part_1_15	7
G000017265.part_1_161	7
G000017265.part_1_162	7
G000017265.part_1_163	7
G000017265.part_1_165	7
G000017265.part_1_166	7
G000017265.part_1_167	7
G000017265.part_1_168	7
G000017265.part_1_16	7
G000017265.part_1_170	7
G000017265.part_1_172	7
G000017265.part_1_173	7
G000017265.part_1_174	7
G000017265.part_1_175	7
G000017265.part_1_177	7
G000017265.part_1_179	7
G000017265.part_1_17	7
G000017265.part_1_180	7
G000017265.part_1_182	7
G000017265.part_1_183	7
G000017265.part_1_184	7
G000017265.part_1_185	7
G000017265.part_1_187	7
G000017265.part_1_188	7
G000017265.part_1_189	7
G000017265.part_1_18	7
G000017265.part_1_190	7
G000017265.part_1_191	7
G000017265.part_1_194	7
G000017265.part_1_196	7
G000017265.part_1_198	7
G000017265.part_1_1	7
G000017265.part_1_200	7
G000017265.part_1_201	7
G000017265.part_1_202	7
G000017265.part_1_203	7
G000017265.part_1_204	7
G000017265.part_1_205	7
G000017265.part_1_206	7
G000017265.part_1_208	7
G000017265.part_1_211	7
G000017265.part_1_212	7
G000017265.part_1_213	7
G000017265.part_1_215	7
G000017265.part_1_217	7
G000017265.part_1_218	7
G000017265.part_1_219	7
G000017265.part_1_220	7
G000017265.part_1_222	7
G000017265.part_1_224	7
G000017265.part_1_226	7
G000017265.part_1_227	7
G000017265.part_1_228	7
G000017265.part_1_229	7
G000017265.part_1_22	7
G000017265.part_1_230	7
G000017265.part_1_234	7
G000017265.part_1_238	7
G000017265.part_1_23	7
G000017265.part_1_240	7
G000017265.part_1_241	7
G000017265.part_1_242	7
G000017265.part_1_243	7
G000017265.part_1_244	7
G000017265.part_1_245	7
G000017265.part_1_246	7
G000017265.part_1_247	7
G000017265.part_1_248	7
G000017265.part_1_249	7
G000017265.part_1_24	7
G000017265.part_1_251	7
G000017265.part_1_254	7
G000017265.part_1_255	7
G000017265.part_1_256	7
G000017265.part_1_257	7
G000017265.part_1_258	7
G000017265.part_1_259	7
G000017265.part_1_262	7
G000017265.part_1_263	7
G000017265.part_1_264	7
G000017265.part_1_265	7
G000017265.part_1_268	7
G000017265.part_1_271	7
G000017265.part_1_272	7
G000017265.part_1_274	7
G000017265.part_1_275	7
G000017265.part_1_276	7
G000017265.part_1_277	7
G000017265.part_1_278	7
G000017265.part_1_280	7
G000017265.part_1_282	7
G000017265.part_1_283	7
G000017265.part_1_284	7
G000017265.part_1_285	7
G000017265.part_1_286	7
G000017265.part_1_287	7
G000017265.part_1_289	7
G000017265.part_1_290	7
G000017265.part_1_291	7
G000017265.part_1_294	7
G000017265.part_1_295	7
G000017265.part_1_296	7
G000017265.part_1_297	7
G000017265.part_1_298	7
G000017265.part_1_29	7
G000017265.part_1_2	7
G000017265.part_1_301	7
G000017265.part_1_302	7
G000017265.part_1_303	7
G000017265.part_1_304	7
G000017265.part_1_305	7
G000017265.part_1_306	7
G000017265.part_1_307	7
G000017265.part_1_308	7
G000017265.part_1_311	7
G000017265.part_1_312	7
G000017265.part_1_313	7
G000017265.part_1_315	7
G000017265.part_1_316	7
G000017265.part_1_317	7
G000017265.part_1_318	7
G000017265.part_1_320	7
G000017265.part_1_322	7
G000017265.part_1_324	7
G000017265.part_1_325	7
G000017265.part_1_326	7
G000017265.part_1_327	7
G000017265.part_1_328	7
G000017265.part_1_329	7
G000017265.part_1_32	7
G000017265.part_1_330	7
G000017265.part_1_332	7
G000017265.part_1_333	7
G000017265.part_1_336	7
G000017265.part_1_337	7
G000017265.part_1_338	7
G000017265.part_1_339	7
G000017265.part_1_33	7
G000017265.part_1_340	7
G000017265.part_1_341	7
G000017265.part_1_342	7
G000017265.part_1_343	7
G000017265.part_1_345	7
G000017265.part_1_346	7
G000017265.part_1_347	7
G000017265.part_1_348	7
G000017265.part_1_34	7
G000017265.part_1_350	7
G000017265.part_1_351	7
G000017265.part_1_352	7
G000017265.part_1_353	7
G000017265.part_1_354	7
G000017265.part_1_355	7
G000017265.part_1_356	7
G000017265.part_1_358	7
G000017265.part_1_359	7
G000017265.part_1_35	7
G000017265.part_1_361	7
G000017265.part_1_362	7
G000017265.part_1_364	7
G000017265.part_1_365	7
G000017265.part_1_366	7
G000017265.part_1_36	7
G000017265.part_1_371	7
G000017265.part_1_372	7
G000017265.part_1_373	7
G000017265.part_1_374	7
G000017265.part_1_375	7
G000017265.part_1_376	7
G000017265.part_1_377	7
G000017265.part_1_378	7
G000017265.part_1_379	7
G000017265.part_1_37	7
G000017265.part_1_380	7
G000017265.part_1_381	7
G000017265.part_1_382	7
G000017265.part_1_385	7
G000017265.part_1_387	7
G000017265.part_1_388	7
G000017265.part_1_389	7
G000017265.part_1_391	7
G000017265.part_1_392	7
G000017265.part_1_393	7
G000017265.part_1_394	7
G000017265.part_1_395	7
G000017265.part_1_396	7
G000017265.part_1_398	7
G000017265.part_1_399	7
G000017265.part_1_3	7
G000017265.part_1_401	7
G000017265.part_1_402	7
G000017265.part_1_403	7
G000017265.part_1_404	7
G000017265.part_1_405	7
G000017265.part_1_406	7
G000017265.part_1_407	7
G000017265.part_1_408	7
G000017265.part_1_409	7
G000017265.part_1_40	7
G000017265.part_1_410	7
G000017265.part_1_412	7
G000017265.part_1_413	7
G000017265.part_1_414	7
G000017265.part_1_415	7
G000017265.part_1_418	7
G000017265.part_1_41	7
G000017265.part_1_420	7
G000017265.part_1_422	7
G000017265.part_1_423	7
G000017265.part_1_424	7
G000017265.part_1_425	7
G000017265.part_1_426	7
G000017265.part_1_427	7
G000017265.part_1_429	7
G000017265.part_1_43	7
G000017265.part_1_45	7
G000017265.part_1_46	7
G000017265.part_1_47	7
G000017265.part_1_48	7
G000017265.part_1_49	7
G000017265.part_1_4	7
G000017265.part_1_50	7
G000017265.part_1_53	7
G000017265.part_1_54	7
G000017265.part_1_55	7
G000017265.part_1_56	7
G000017265.part_1_57	7
G000017265.part_1_58	7
G000017265.part_1_59	7
G000017265.part_1_5	7
G000017265.part_1_61	7
G000017265.part_1_62	7
G000017265.part_1_63	7
G000017265.part_1_64	7
G000017265.part_1_65	7
G000017265.part_1_66	7
G000017265.part_1_6	7
G000017265.part_1_70	7
G000017265.part_1_72	7
G000017265.part_1_73	7
G000017265.part_1_74	7
G000017265.part_1_75	7
G000017265.part_1_76	7
G000017265.part_1_77	7
G000017265.part_1_7	7
G000017265.part_1_80	7
G000017265.part_1_81	7
G000017265.part_1_83	7
G000017265.part_1_85	7
G000017265.part_1_87	7
G000017265.part_1_88	7
G000017265.part_1_89	7
G000017265.part_1_8	7
G000017265.part_1_90	7
G000017265.part_1_91	7
G000017265.part_1_95	7
G000017265.part_1_97	7
G000017265.part_1_98	7
G000017265.part_2_10	7
G000017265.part_2_12	7
G000017265.part_2_15	7
G000017265.part_2_18	7
G000017265.part_2_19	7
G000017265.part_2_1	7
G000017265.part_2_20	7
G000017265.part_2_23	7
G000017265.part_2_24	7
G000017265.part_2_25	7
G000017265.part_2_26	7
G000017265.part_2_29	7
G000017265.part_2_2	7
G000017265.part_2_30	7
G000017265.part_2_31	7
G000017265.part_2_32	7
G000017265.part_2_33	7
G000017265.part_2_34	7
G000017265.part_2_35	7
G000017265.part_2_36	7
G000017265.part_2_38	7
G000017265.part_2_39	7
G000017265.part_2_3	7
G000017265.part_2_40	7
G000017265.part_2_41	7
G000017265.part_2_43	7
G000017265.part_2_4	7
G000017265.part_2_5	7
G000017265.part_2_6	7
G000017265.part_2_7	7
G000017265.part_2_9	7
G000018945.part_1_100	14
G000018945.part_1_103	14
G000018945.part_1_104	14
G000018945.part_1_107	14
G000018945.part_1_108	14
G000018945.part_1_109	14
G000018945.part_1_111	14
G000018945.part_1_112	14
G000018945.part_1_115	14
G000018945.part_1_116	14
G000018945.part_1_117	14
G000018945.part_1_11	14
G000018945.part_1_120	14
G000018945.part_1_121	14
G000018945.part_1_122	14
G000018945.part_1_123	14
G000018945.part_1_124	14
G000018945.part_1_125	14
G000018945.part_1_128	14
G000018945.part_1_12	14
G000018945.part_1_130	14
G000018945.part_1_131	14
G000018945.part_1_132	14
G000018945.part_1_133	14
G000018945.part_1_135	14
G000018945.part_1_136	14
G000018945.part_1_140	14
G000018945.part_1_141	14
G000018945.part_1_142	14
G000018945.part_1_143	14
G000018945.part_1_144	14
G000018945.part_1_145	14
G000018945.part_1_147	14
G000018945.part_1_148	14
G000018945.part_1_149	14
G000018945.part_1_14	14
G000018945.part_1_152	14
G000018945.part_1_153	14
G000018945.part_1_154	14
G000018945.part_1_156	14
G000018945.part_1_157	14
G000018945.part_1_158	14
G000018945.part_1_159	14
G000018945.part_1_15	14
G000018945.part_1_161	14
G000018945.part_1_162	14
G000018945.part_1_163	14
G000018945.part_1_165	14
G000018945.part_1_166	14
G000018945.part_1_167	14
G000018945.part_1_168	14
G000018945.part_1_16	14
G000018945.part_1_170	14
G000018945.part_1_172	14
G000018945.part_1_173	14
G000018945.part_1_174	14
G000018945.part_1_175	14
G000018945.part_1_177	14
G000018945.part_1_179	14
G000018945.part_1_17	14
G000018945.part_1_180	14
G000018945.part_1_182	14
G000018945.part_1_183	14
G000018945.part_1_184	14
G000018945.part_1_185	14
G000018945.part_1_187	14
G000018945.part_1_188	14
G000018945.part_1_189	14
G000018945.part_1_18	14
G000018945.part_1_190	14
G000018945.part_1_191	14
G000018945.part_1_194	14
G000018945.part_1_196	14
G000018945.part_1_198	14
G000018945.part_1_1	14
G000018945.part_1_200	14
G000018945.part_1_201	14
G000018945.part_1_202	14
G000018945.part_1_203	14
G000018945.part_1_204	14
G000018945.part_1_205	14
G000018945.part_1_206	14
G000018945.part_1_208	14
G000018945.part_1_22	14
G000018945.part_1_23	14
G000018945.part_1_24	14
G000018945.part_1_29	14
G000018945.part_1_2	14
G000018945.part_1_32	14
G000018945.part_1_33	14
G000018945.part_1_34	14
G000018945.part_1_35	14
G000018945.part_1_36	14
G000018945.part_1_37	14
G000018945.part_1_3	14
G000018945.part_1_40	14
G000018945.part_1_41	14
G000018945.part_1_43	14
G000018945.part_1_45	14
G000018945.part_1_46	14
G000018945.part_1_47	14
G000018945.part_1_48	14
G000018945.part_1_49	14
G000018945.part_1_4	14
G000018945.part_1_50	14
G000018945.part_1_53	14
G000018945.part_1_54	14
G000018945.part_1_55	14
G000018945.part_1_56	14
G000018945.part_1_57	14
G000018945.part_1_58	14
G000018945.part_1_59	14
G000018945.part_1_5	14
G000018945.part_1_61	14
G000018945.part_1_62	14
G000018945.part_1_63	14
G000018945.part_1_64	14
G000018945.part_1_65	14
G000018945.part_1_66	14
G000018945.part_1_6	14
G000018945.part_1_70	14
G000018945.part_1_72	14
G000018945.part_1_73	14
G000018945.part_1_74	14
G000018945.part_1_75	14
G000018945.part_1_76	14
G000018945.part_1_77	14
G000018945.part_1_7	14
G000018945.part_1_80	14
G000018945.part_1_81	14
G000018945.part_1_83	14
G000018945.part_1_85	14
G000018945.part_1_87	14
G000018945.part_1_88	14
G000018945.part_1_89	14
G000018945.part_1_8	14
G000018945.part_1_90	14
G000018945.part_1_91	14
G000018945.part_1_95	14
G000018945.part_1_97	14
G000018945.part_1_98	14
G000153405.part_1_100	8
G000153405.part_1_103	8
G000153405.part_1_104	8
G000153405.part_1_107	8
G000153405.part_1_108	8
G000153405.part_1_109	8
G000153405.part_1_111	8
G000153405.part_1_112	8
G000153405.part_1_115	8
G000153405.part_1_116	8
G000153405.part_1_117	8
G000153405.part_1_11	8
G000153405.part_1_120	8
G000153405.part_1_121	8
G000153405.part_1_122	8
G000153405.part_1_123	8
G000153405.part_1_124	8
G000153405.part_1_125	8
G000153405.part_1_128	8
G000153405.part_1_12	8
G000153405.part_1_130	8
G000153405.part_1_131	8
G000153405.part_1_132	8
G000153405.part_1_133	8
G000153405.part_1_135	8
G000153405.part_1_136	8
G000153405.part_1_140	8
G000153405.part_1_141	8
G000153405.part_1_142	8
G000153405.part_1_143	8
G000153405.part_1_144	8
G000153405.part_1_145	8
G000153405.part_1_147	8
G000153405.part_1_148	8
G000153405.part_1_149	8
G000153405.part_1_14	8
G000153405.part_1_152	8
G000153405.part_1_153	8
G000153405.part_1_154	8
G000153405.part_1_156	8
G000153405.part_1_157	8
G000153405.part_1_158	8
G000153405.part_1_159	8
G000153405.part_1_15	8
G000153405.part_1_161	8
G000153405.part_1_162	8
G000153405.part_1_163	8
G000153405.part_1_165	8
G000153405.part_1_166	8
G000153405.part_1_167	8
G000153405.part_1_168	8
G000153405.part_1_16	8
G000153405.part_1_170	8
G000153405.part_1_172	8
G000153405.part_1_173	8
G000153405.part_1_174	8
G000153405.part_1_175	8
G000153405.part_1_177	8
G000153405.part_1_179	8
G000153405.part_1_17	8
G000153405.part_1_180	8
G000153405.part_1_182	8
G000153405.part_1_183	8
G000153405.part_1_184	8
G000153405.part_1_185	8
G000153405.part_1_187	8
G000153405.part_1_188	8
G000153405.part_1_189	8
G000153405.part_1_18	8
G000153405.part_1_190	8
G000153405.part_1_191	8
G000153405.part_1_194	8
G000153405.part_1_196	8
G000153405.part_1_198	8
G000153405.part_1_1	8
G000153405.part_1_200	8
G000153405.part_1_201	8
G000153405.part_1_202	8
G000153405.part_1_203	8
G000153405.part_1_204	8
G000153405.part_1_205	8
G000153405.part_1_206	8
G000153405.part_1_208	8
G000153405.part_1_211	8
G000153405.part_1_212	8
G000153405.part_1_213	8
G000153405.part_1_215	8
G000153405.part_1_217	8
G000153405.part_1_218	8
G000153405.part_1_219	8
G000153405.part_1_220	8
G000153405.part_1_222	8
G000153405.part_1_224	8
G000153405.part_1_226	8
G000153405.part_1_227	8
G000153405.part_1_228	8
G000153405.part_1_229	8
G000153405.part_1_22	8
G000153405.part_1_230	8
G000153405.part_1_234	8
G000153405.part_1_238	8
G000153405.part_1_23	8
G000153405.part_1_240	8
G000153405.part_1_241	8
G000153405.part_1_242	8
G000153405.part_1_243	8
G000153405.part_1_244	8
G000153405.part_1_245	8
G000153405.part_1_246	8
G000153405.part_1_247	8
G000153405.part_1_248	8
G000153405.part_1_249	8
G000153405.part_1_24	8
G000153405.part_1_251	8
G000153405.part_1_254	8
G000153405.part_1_255	8
G000153405.part_1_256	8
G000153405.part_1_257	8
G000153405.part_1_258	8
G000153405.part_1_259	8
G000153405.part_1_262	8
G000153405.part_1_263	8
G000153405.part_1_264	8
G000153405.part_1_265	8
G000153405.part_1_268	8
G000153405.part_1_271	8
G000153405.part_1_272	8
G000153405.part_1_274	8
G000153405.part_1_275	8
G000153405.part_1_276	8
G000153405.part_1_277	8
G000153405.part_1_278	8
G000153405.part_1_279	8
G000153405.part_1_280	8
G000153405.part_1_281	8
G000153405.part_1_286	8
G000153405.part_1_288	8
G000153405.part_1_289	8
G000153405.part_1_290	8
G000153405.part_1_293	8
G000153405.part_1_294	8
G000153405.part_1_296	8
G000153405.part_1_298	8
G000153405.part_1_299	8
G000153405.part_1_29	8
G000153405.part_1_2	8
G000153405.part_1_303	8
G000153405.part_1_304	8
G000153405.part_1_306	8
G000153405.part_1_307	8
G000153405.part_1_308	8
G000153405.part_1_309	8
G000153405.part_1_310	8
G000153405.part_1_312	8
G000153405.part_1_313	8
G000153405.part_1_314	8
G000153405.part_1_315	8
G000153405.part_1_318	8
G000153405.part_1_319	8
G000153405.part_1_321	8
G000153405.part_1_325	8
G000153405.part_1_327	8
G000153405.part_1_328	8
G000153405.part_1_32	8
G000153405.part_1_330	8
G000153405.part_1_331	8
G000153405.part_1_333	8
G000153405.part_1_33	8
G000153405.part_1_34	8
G000153405.part_1_35	8
G000153405.part_1_36	8
G000153405.part_1_37	8
G000153405.part_1_3	8
G000153405.part_1_40	8
G000153405.part_1_41	8
G000153405.part_1_43	8
G000153405.part_1_45	8
G000153405.part_1_46	8
G000153405.part_1_47	8
G000153405.part_1_48	8
G000153405.part_1_49	8
G000153405.part_1_4	8
G000153405.part_1_50	8
G000153405.part_1_53	8
G000153405.part_1_54	8
G000153405.part_1_55	8
G000153405.part_1_56	8
G000153405.part_1_57	8
G000153405.part_1_58	8
G000153405.part_1_59	8
G000153405.part_1_5	8
G000153405.part_1_61	8
G000153405.part_1_62	8
G000153405.part_1_63	8
G000153405.part_1_64	8
G000153405.part_1_65	8
G000153405.part_1_66	8
G000153405.part_1_6	8
G000153405.part_1_70	8
G000153405.part_1_72	8
G000153405.part_1_73	8
G000153405.part_1_74	8
G000153405.part_1_75	8
G000153405.part_1_76	8
G000153405.part_1_77	8
G000153405.part_1_7	8
G000153405.part_1_80	8
G000153405.part_1_81	8
G000153405.part_1_83	8
G000153405.part_1_85	8
G000153405.part_1_87	8
G000153405.part_1_88	8
G000153405.part_1_89	8
G000153405.part_1_8	8
G000153405.part_1_90	8
G000153405.part_1_91	8
G000153405.part_1_95	8
G000153405.part_1_97	8
G000153405.part_1_98	8
G000237805.part_1_100	14
G000237805.part_1_103	14
G000237805.part_1_104	14
G000237805.part_1_107	14
G000237805.part_1_108	14
G000237805.part_1_109	14
G000237805.part_1_111	14
G000237805.part_1_112	14
G000237805.part_1_115	14
G000237805.part_1_116	14
G000237805.part_1_117	14
G000237805.part_1_11	14
G000237805.part_1_120	14
G000237805.part_1_121	14
G000237805.part_1_122	14
G000237805.part_1_124	14
G000237805.part_1_128	14
G000237805.part_1_129	14
G000237805.part_1_12	14
G000237805.part_1_130	14
G000237805.part_1_131	14
G000237805.part_1_132	14
G000237805.part_1_133	14
G000237805.part_1_134	14
G000237805.part_1_135	14
G000237805.part_1_139	14
G000237805.part_1_140	14
G000237805.part_1_141	14
G000237805.part_1_142	14
G000237805.part_1_144	14
G000237805.part_1_145	14
G000237805.part_1_146	14
G000237805.part_1_14	14
G000237805.part_1_150	14
G000237805.part_1_152	14
G000237805.part_1_153	14
G000237805.part_1_157	14
G000237805.part_1_158	14
G000237805.part_1_15	14
G000237805.part_1_160	14
G000237805.part_1_161	14
G000237805.part_1_162	14
G000237805.part_1_165	14
G000237805.part_1_166	14
G000237805.part_1_169	14
G000237805.part_1_16	14
G000237805.part_1_171	14
G000237805.part_1_172	14
G000237805.part_1_173	14
G000237805.part_1_174	14
G000237805.part_1_175	14
G000237805.part_1_179	14
G000237805.part_1_17	14
G000237805.part_1_180	14
G000237805.part_1_181	14
G000237805.part_1_183	14
G000237805.part_1_184	14
G000237805.part_1_186	14
G000237805.part_1_188	14
G000237805.part_1_189	14
G000237805.part_1_18	14
G000237805.part_1_190	14
G000237805.part_1_191	14
G000237805.part_1_193	14
G000237805.part_1_194	14
G000237805.part_1_197	14
G000237805.part_1_198	14
G000237805.part_1_1	14
G000237805.part_1_22	14
G000237805.part_1_23	14
G000237805.part_1_24	14
G000237805.part_1_29	14
G000237805.part_1_2	14
G000237805.part_1_32	14
G000237805.part_1_33	14
G000237805.part_1_34	14
G000237805.part_1_35	14
G000237805.part_1_36	14
G000237805.part_1_37	14
G000237805.part_1_3	14
G000237805.part_1_40	14
G000237805.part_1_41	14
G000237805.part_1_43	14
G000237805.part_1_45	14
G000237805.part_1_46	14
G000237805.part_1_47	14
G000237805.part_1_48	14
G000237805.part_1_49	14
G000237805.part_1_4	14
G000237805.part_1_50	14
G000237805.part_1_53	14
G000237805.part_1_54	14
G000237805.part_1_55	14
G000237805.part_1_56	14
G000237805.part_1_57	14
G000237805.part_1_58	14
G000237805.part_1_59	14
G000237805.part_1_5	14
G000237805.part_1_61	14
G000237805.part_1_62	14
G000237805.part_1_63	14
G000237805.part_1_64	14
G000237805.part_1_65	14
G000237805.part_1_66	14
G000237805.part_1_6	14
G000237805.part_1_70	14
G000237805.part_1_72	14
G000237805.part_1_73	14
G000237805.part_1_74	14
G000237805.part_1_75	14
G000237805.part_1_76	14
G000237805.part_1_77	14
G000237805.part_1_7	14
G000237805.part_1_80	14
G000237805.part_1_81	14
G000237805.part_1_83	14
G000237805.part_1_85	14
G000237805.part_1_87	14
G000237805.part_1_88	14
G000237805.part_1_89	14
G000237805.part_1_8	14
G000237805.part_1_90	14
G000237805.part_1_91	14
G000237805.part_1_95	14
G000237805.part_1_97	14
G000237805.part_1_98	14
G000283915.part_1_100	10
G000283915.part_1_103	10
G000283915.part_1_104	10
G000283915.part_1_107	10
G000283915.part_1_108	10
G000283915.part_1_109	10
G000283915.part_1_111	10
G000283915.part_1_112	10
G000283915.part_1_115	10
G000283915.part_1_116	10
G000283915.part_1_117	10
G000283915.part_1_11	10
G000283915.part_1_120	10
G000283915.part_1_121	10
G000283915.part_1_122	10
G000283915.part_1_123	10
G000283915.part_1_124	10
G000283915.part_1_125	10
G000283915.part_1_128	10
G000283915.part_1_12	10
G000283915.part_1_130	10
G000283915.part_1_131	10
G000283915.part_1_14	10
G000283915.part_1_15	10
G000283915.part_1_16	10
G000283915.part_1_17	10
G000283915.part_1_18	10
G000283915.part_1_1	10
G000283915.part_1_22	10
G000283915.part_1_23	10
G000283915.part_1_24	10
G000283915.part_1_29	10
G000283915.part_1_2	10
G000283915.part_1_32	10
G000283915.part_1_33	10
G000283915.part_1_34	10
G000283915.part_1_35	10
G000283915.part_1_36	10
G000283915.part_1_37	10
G000283915.part_1_3	10
G000283915.part_1_40	10
G000283915.part_1_41	10
G000283915.part_1_43	10
G000283915.part_1_45	10
G000283915.part_1_46	10
G000283915.part_1_47	10
G000283915.part_1_48	10
G000283915.part_1_49	10
G000283915.part_1_4	10
G000283915.part_1_50	10
G000283915.part_1_53	10
G000283915.part_1_54	10
G000283915.part_1_55	10
G000283915.part_1_56	10
G000283915.part_1_57	10
G000283915.part_1_58	10
G000283915.part_1_59	10
G000283915.part_1_5	10
G000283915.part_1_61	10
G000283915.part_1_62	10
G000283915.part_1_63	10
G000283915.part_1_64	10
G000283915.part_1_65	10
G000283915.part_1_66	10
G000283915.part_1_6	10
G000283915.part_1_70	10
G000283915.part_1_72	10
G000283915.part_1_73	10
G000283915.part_1_74	10
G000283915.part_1_75	10
G000283915.part_1_76	10
G000283915.part_1_77	10
G000283915.part_1_7	10
G000283915.part_1_80	10
G000283915.part_1_81	10
G000283915.part_1_83	10
G000283915.part_1_85	10
G000283915.part_1_87	10
G000283915.part_1_88	10
G000283915.part_1_89	10
G000283915.part_1_8	10
G000283915.part_1_90	10
G000283915.part_1_91	10
G000283915.part_1_95	10
G000283915.part_1_97	10
G000283915.part_1_98	10
G000298475.part_1_100	11
G000298475.part_1_103	11
G000298475.part_1_104	11
G000298475.part_1_107	11
